City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Eyl,SO,76.77,few clouds,7.9803,49.8164,Amiin Hotel
1,Nikolskoye,RU,67.89,overcast clouds,59.7035,30.7861,Tourist House - Sablino
2,Busselton,AU,55.09,overcast clouds,-33.65,115.3333,Observatory Guest House
3,Souillac,MU,69.37,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
4,Rikitea,PF,74.19,clear sky,-23.1203,-134.9692,People ThankYou
7,Australind,AU,55.06,overcast clouds,-33.2667,115.7167,ON THE ESTUARY
9,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Port Hedland,AU,57.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
11,Zalantun,CN,66.2,light rain,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
13,Esperance,AU,58.84,clear sky,-33.8667,121.9,Hospitality Esperance
15,Avarua,CK,69.85,broken clouds,-21.2078,-159.775,Paradise Inn
17,Linqiong,CN,76.82,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
18,Vagamo,NO,58.21,scattered clouds,61.8751,9.0967,Vågå hotel
19,Shahr-E Kord,IR,76.77,scattered clouds,32.3256,50.8644,Shahrekord Tourist Hotel
20,Khatanga,RU,54.37,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
21,Bredasdorp,ZA,59.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
23,Kabin Buri,TH,77.86,overcast clouds,13.9511,101.7177,At Home Kabinburi
24,Atuona,PF,77.32,light rain,-9.8,-139.0333,Villa Enata
27,Hermanus,ZA,59.81,moderate rain,-34.4187,19.2345,Misty Waves Boutique Hotel
29,Boguchany,RU,59.22,overcast clouds,58.3814,97.4531,Uyut
30,Port Elizabeth,ZA,61.09,clear sky,-33.918,25.5701,39 On Nile Guest House
33,Ancud,CL,54.43,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
36,Saint-Philippe,RE,69.35,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
37,Vardo,NO,62.8,clear sky,70.3705,31.1107,Vardø Hotel AS
39,Talnakh,RU,58.15,clear sky,69.4865,88.3972,Talnakh Hotel
40,Quelimane,MZ,69.75,clear sky,-17.8786,36.8883,Hotel Flamingo
41,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
43,Vaini,TO,60.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
45,North Bend,US,73.92,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
49,Cape Town,ZA,57.88,heavy intensity rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
53,Haines Junction,CA,58.95,overcast clouds,60.7522,-137.5108,Parkside Inn
56,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
57,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
58,Maxixe,MZ,62.42,clear sky,-23.8597,35.3472,Oceano
60,Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
61,Le Port,RE,69.76,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
62,Faanui,PF,78.91,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
64,Bundibugyo,UG,68.86,light rain,0.7414,30.0417,R.A. Kaliisa Accomodations
65,Kapit,MY,74.53,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
66,Port Alfred,ZA,62.64,overcast clouds,-33.5906,26.891,The Halyards Hotel
67,Kushima,JP,77.63,broken clouds,31.4583,131.2333,Hanaoka
68,Lagoa,PT,72.05,broken clouds,39.05,-27.9833,Casa Das Faias
72,Luganville,VU,75.31,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
77,Yar-Sale,RU,54.16,overcast clouds,66.8333,70.8333,Yalemd
78,Antalaha,MG,69.13,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
81,Bengkulu,ID,76.41,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
82,College,US,61.66,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
83,Port Lincoln,AU,54.19,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
84,Ayan,RU,52.74,clear sky,56.45,138.1667,Gostinitsa
85,Cidreira,BR,65.05,clear sky,-30.1811,-50.2056,Hotel Castelo
86,East London,ZA,79.74,clear sky,-33.0153,27.9116,Tu Casa
88,Nome,US,55.47,scattered clouds,64.5011,-165.4064,Dredge 7 Inn
89,Lebu,CL,50.11,few clouds,-37.6167,-73.65,Hostal Las Lilas
90,Marystown,CA,67.98,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
91,Saldanha,ZA,57.25,light rain,-33.0117,17.9442,Blue Bay Lodge
92,Pacific Grove,US,79.16,scattered clouds,36.6177,-121.9166,Lovers Point Inn
95,Yellowknife,CA,54.12,broken clouds,62.456,-114.3525,The Explorer Hotel
98,Chake Chake,TZ,73.76,scattered clouds,-5.2459,39.7666,Hotel Archipelago
100,Fortuna,US,64.65,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
104,Torbay,CA,73.89,overcast clouds,47.6666,-52.7314,Gallows Cove
105,Xam Nua,LA,70.72,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
108,Kodiak,US,56.71,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
109,Isangel,VU,68.11,overcast clouds,-19.55,169.2667,Tanna Lodge
112,Storm Lake,US,78.49,few clouds,42.6411,-95.2097,King's Pointe Resort
114,Cherskiy,RU,53.13,few clouds,68.75,161.3,Gostinitsa
118,Hilo,US,76.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
122,Senanga,ZM,65.98,clear sky,-16.1167,23.2667,Zango lodge
123,Shahr-E Babak,IR,79.72,clear sky,30.1165,55.1186,Duna Ecolodge
125,Lugovoy,KZ,79.32,clear sky,42.9472,72.7644,Ж.Д Вокзал Луговая
126,Namatanai,PG,77.58,light rain,-3.6667,152.4333,Seagulls Inn Namatani
128,Naze,JP,77.67,clear sky,28.3667,129.4833,Amami Port Tower Hotel
130,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
134,Castro,BR,65.37,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
136,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
138,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
139,Narsaq,GL,53.82,clear sky,60.9167,-46.05,Narsaq Kayak Hostel
140,Huangzhai,CN,64.81,clear sky,38.0751,112.6595,Jiayuan Hotel
141,Mahebourg,MU,69.26,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
142,Chuy,UY,69.89,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
143,Pidhaytsi,UA,72.46,broken clouds,49.2685,25.1334,Stare Misto Tato
144,Mayumba,GA,71.6,clear sky,-3.432,10.6554,LIKWALE LODGE
147,Mareeba,AU,65.12,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
148,Vangaindrano,MG,65.17,few clouds,-23.35,47.6,Hotel Fanilo
149,Mairana,BO,72.73,clear sky,-18.1167,-63.9333,Mi Terruño
151,Norman Wells,CA,50.04,overcast clouds,65.282,-126.8329,Heritage Hotel
152,Oyotun,PE,71.19,clear sky,-6.8519,-79.3036,Daysi chavez
154,Tocopilla,CL,64.11,broken clouds,-22.092,-70.1979,Hotel Galvarino
155,Hukuntsi,BW,63.79,clear sky,-24.0,21.75,Entabeni Hotel
159,Rocha,UY,57.74,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
160,Santa Isabel Do Rio Negro,BR,76.23,light rain,-0.4139,-65.0192,Hotel GSA
162,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
163,Portree,GB,61.86,few clouds,57.4129,-6.1942,The Royal Hotel
164,Faya,SA,73.51,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
165,Hambantota,LK,79.14,clear sky,6.1241,81.1185,Bungalow 63
169,Fayaoue,NC,70.09,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
170,Dondo,MZ,65.71,clear sky,-19.6094,34.7431,Arco Iris
172,Imbituba,BR,73.29,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
173,Bandarbeyla,SO,76.23,overcast clouds,9.4942,50.8122,JABIR HOTEL
176,Bambous Virieux,MU,69.22,light rain,-20.3428,57.7575,Casa Tia Villa
179,Kismayo,SO,75.99,few clouds,-0.3582,42.5454,Agan-Hotel
181,Kupang,ID,74.14,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
182,Grindavik,IS,64.35,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
183,Canico,PT,75.0,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
184,Saint Stephen,GB,61.39,moderate rain,50.3333,-4.9,4 stepaside corner
186,Inhambane,MZ,62.58,clear sky,-23.865,35.3833,Oceano
188,Lata,PT,77.04,clear sky,40.1629,-8.3327,Casa Maquia
189,Brigantine,US,76.48,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
190,Zharkent,KZ,73.35,clear sky,44.1628,80.0,гостиница Satti
193,Aklavik,CA,52.52,scattered clouds,68.2191,-135.0107,Aklavik Inn
194,Dingle,PH,76.37,light rain,10.9995,122.6711,SEGAYA PROPERTY
197,Chapleau,CA,66.29,overcast clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
198,Clyde River,CA,52.03,scattered clouds,70.4692,-68.5914,Qamaq Hotel
201,Morbach,DE,61.9,few clouds,49.8167,7.1167,Boardinghouse Morbach
202,Panzhihua,CN,73.99,moderate rain,26.5851,101.7128,Electric Power Hotel
203,Chuncheng,CN,79.43,overcast clouds,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
205,Lufilufi,WS,74.98,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
206,Tigzirt,DZ,78.35,scattered clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
208,Pisco,PE,64.45,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
209,Chinsali,ZM,60.48,clear sky,-10.5414,32.0816,Mwiluzi Motel Chinsali Ltd
210,Sumy,UA,72.82,overcast clouds,50.9216,34.8003,Reikartz
211,Chapais,CA,69.58,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
214,Ponta Do Sol,PT,75.0,scattered clouds,32.6667,-17.1,Hotel do Campo
216,Berlevag,NO,69.8,clear sky,70.8578,29.0864,Kvitbrakka
218,Klaksvik,FO,52.72,overcast clouds,62.2266,-6.589,Airbnb rooms
220,Port Hardy,CA,60.98,broken clouds,50.6996,-127.4199,Airport Inn
221,Kiunga,PG,72.21,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
224,Maimbung,PH,79.57,overcast clouds,5.9272,121.0294,Bualo Resort
226,Taltal,CL,59.23,broken clouds,-25.4,-70.4833,Residencial Karime
229,Sidney,AU,51.28,scattered clouds,-33.8679,151.2073,The Grace Sydney
230,Waingapu,ID,72.81,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
231,Port-Cartier,CA,66.42,clear sky,50.0334,-66.8654,Le Q'Artier
233,Airai,TL,54.16,scattered clouds,-8.9266,125.4092,Juvinal Martin
234,Lircay,PE,64.94,broken clouds,-12.9896,-74.7205,Hostal Escobar
235,Carira,BR,76.39,broken clouds,-10.3608,-37.7011,Praca dos motorista
236,Ribeira Grande,PT,77.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
245,Severodvinsk,RU,60.91,overcast clouds,64.5635,39.8302,Park Hotel
247,Batyrevo,RU,70.61,broken clouds,55.0675,47.6111,Gostinitsa Yukhma
248,Meulaboh,ID,78.06,overcast clouds,4.1363,96.1285,Kost Pria
250,Bintulu,MY,75.61,moderate rain,3.1667,113.0333,900 Boutique INN
251,Varhaug,NO,62.15,broken clouds,58.6147,5.6457,Jonas Bue
252,Zhigansk,RU,58.71,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
253,Heinola,FI,62.69,overcast clouds,61.2056,26.0381,Hotelli Valo
255,Sorland,NO,66.27,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
256,Halle,DE,67.82,light intensity shower rain,51.5,12.0,Hotel Schweizer Hof
259,Marihatag,PH,75.42,light rain,8.7936,126.2969,Mariner's Place & Resort
260,Bembereke,BJ,74.46,moderate rain,10.2283,2.6634,Hotel Bio Guera
261,Hanzhong,CN,69.66,overcast clouds,33.0728,107.0303,Guorui Hotel
265,Sao Filipe,CV,79.63,broken clouds,14.8961,-24.4956,Hotel Xaguate
266,Azad Shahr,IR,73.02,broken clouds,34.7909,48.5707,مزارحاج علی ربانی
269,Caravelas,BR,73.65,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
270,Coracora,PE,63.55,scattered clouds,-15.0333,-73.7833,Hotel Universo
272,Namibe,AO,65.25,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
273,Vestmannaeyjar,IS,59.99,clear sky,63.4427,-20.2734,Glamping & Camping
274,Soyo,AO,73.45,few clouds,-6.1349,12.3689,Hotel Mpampa
275,Labuhan,ID,78.13,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
277,Saint-Joseph,RE,68.36,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
278,Geraldton,AU,64.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
280,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
282,Burns Lake,CA,60.22,clear sky,54.2331,-125.7533,Burns Lake Bed and Breakfast
283,Dudinka,RU,56.01,clear sky,69.4058,86.1778,Hotel Viktoria
284,Aritao,PH,73.51,overcast clouds,16.2979,121.0345,Travelista Tours & Services‎
285,Kalabo,ZM,66.63,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
286,Salinas,US,79.57,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
289,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
290,Rocky Mountain House,CA,60.55,overcast clouds,52.3668,-114.9188,Walking Eagle Inn & Lodge
292,Singaraja,ID,76.87,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
293,Krasnoshchekovo,RU,62.51,overcast clouds,51.6708,82.7289,Viro гостиница
295,Chyhyryn,UA,73.26,clear sky,49.0838,32.6555,Panatseya
296,Frankfort,ZA,55.26,clear sky,-27.2667,28.4833,Formule 11 Accomodation
300,Tignere,CM,64.69,overcast clouds,7.3667,12.65,SADECK
302,Kruisfontein,ZA,56.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
304,Hohhot,CN,59.29,thunderstorm with light rain,40.8106,111.6522,Sheraton Hohhot Hotel
305,Bontang,ID,78.13,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
308,Gravdal,NO,66.09,light rain,68.1214,13.5031,Skreda Rorbusuiter
309,Ruteng,ID,60.8,broken clouds,-8.6136,120.4721,Hotel FX72 Ruteng
314,Blanquefort,FR,68.22,clear sky,44.9125,-0.6366,Hotel Balladins Bordeaux Eysines
317,Puerto Madryn,AR,53.67,clear sky,-42.7692,-65.0385,Hotel Tolosa
318,Moron,AR,51.49,light rain,-34.6534,-58.6198,Hotel Morón
320,Margate,GB,65.7,few clouds,51.3813,1.3862,Premier Inn Margate hotel
321,Idah,NG,73.62,moderate rain,7.1065,6.7342,Ubiga Hotel Idah
322,Viedma,AR,53.44,broken clouds,-40.8135,-62.9967,Hotel Cristal
